LAU_ID,LAU_NAME,Anio,Vehiculos_Oficial,Indice_Conectividad,Poblacion_Est
05151,Navacepedilla de Corneja,2010,56,17.38,91
05152,Nava de Arévalo,2010,403,34.63,651
05153,Nava del Barco,2010,50,17.29,81
05154,Navadijos,2010,22,11.21,37
05155,Navaescurial,2010,32,20.55,52
05156,Navahondilla,2010,212,13.16,342
05157,Navalacruz,2010,130,29.57,211
05158,Navalmoral,2010,219,25.73,354
05159,Navalonguilla,2010,115,53.79,186
05160,Navalosa,2010,192,17.78,311
05163,Navaluenga,2010,1293,43.76,2087
05164,Navaquesera,2010,22,5.19,37
05165,Navarredonda de Gredos,2010,269,46.9,434
05166,Navarredondilla,2010,104,11.98,169
05167,Navarrevisca,2010,182,23.66,295
05169,Navatalgordo,2010,140,11.85,227
05170,Navatejares,2010,32,6.43,52
05171,Neila de San Miguel,2010,36,4.59,59
05172,Niharra,2010,110,6.64,179
05174,Orbita,2010,42,8.5,68
05175,"Oso, El",2010,78,10.85,127
05176,Padiernos,2010,163,21.91,264
05177,Pajares de Adaja,2010,84,13.66,137
05178,Palacios de Goda,2010,245,31.44,396
05179,Papatrigo,2010,132,12.44,214
05180,"Parral, El",2010,37,6.29,61
05181,Pascualcobo,2010,22,9.35,36
05184,Peguerinos,2010,182,51.18,294
05185,Peñalba de Ávila,2010,62,13.75,101
05186,Piedrahíta,2010,1000,17.08,1613
05187,Piedralaves,2010,1282,32.9,2069
05188,Poveda,2010,19,3.65,32
05189,Poyales del Hoyo,2010,295,2.0,477
05190,Pozanco,2010,34,6.38,56
05191,Pradosegar,2010,72,6.67,117
05192,Puerto Castilla,2010,59,25.54,96
05193,Rasueros,2010,94,23.89,153
05194,Riocabado,2010,77,11.62,125
05195,Riofrío,2010,118,38.85,191
05196,Rivilla de Barajas,2010,36,14.15,59
05198,Salvadiós,2010,45,11.92,73
05200,San Bartolomé de Corneja,2010,21,4.18,35
05201,San Bartolomé de Pinares,2010,299,44.41,483
05204,Sanchidrián,2010,422,15.82,682
05205,Sanchorreja,2010,49,20.61,80
05206,San Esteban de los Patos,2010,11,5.69,19
05207,San Esteban del Valle,2010,442,23.48,713
05208,San Esteban de Zapardiel,2010,22,7.33,37
05210,San Juan de la Encinilla,2010,39,10.12,64
05211,San Juan de la Nava,2010,259,36.02,419
05213,San Juan del Olmo,2010,48,17.85,78
05215,San Martín de la Vega del Albe,2010,97,29.85,157
05216,San Martín del Pimpollar,2010,129,27.01,209
05217,San Miguel de Corneja,2010,42,3.98,69
05218,San Miguel de Serrezuela,2010,61,20.39,99
05219,San Pascual,2010,26,11.02,42
05220,San Pedro del Arroyo,2010,296,11.02,478
05221,Santa Cruz del Valle,2010,192,17.56,311
05222,Santa Cruz de Pinares,2010,106,24.65,171
05224,Santa María del Arroyo,2010,60,6.63,97
05225,Santa María del Berrocal,2010,224,16.87,362
05227,Santa María del Tiétar,2010,314,7.11,508
05228,Santiago del Collado,2010,102,25.32,165
05229,Santo Domingo de las Posadas,2010,43,7.86,70
05230,Santo Tomé de Zabarcos,2010,45,4.92,73
05231,San Vicente de Arévalo,2010,98,9.52,159
05233,Serranillos,2010,166,10.84,269
05234,Sigeres,2010,26,7.92,43
05235,Sinlabajos,2010,81,11.87,131
05236,Solana de Ávila,2010,60,39.83,98
05237,Solana de Rioalmar,2010,88,22.09,142
05238,Solosancho,2010,463,30.94,747
05239,Sotalbo,2010,148,53.45,240
05240,Sotillo de la Adrada,2010,2890,25.76,4662
05243,Tolbaños,2010,53,30.62,86
05244,Tormellas,2010,21,5.39,34
05245,Tornadizos de Ávila,2010,272,56.7,440
05247,"Torre, La",2010,133,34.48,216
05249,Umbrías,2010,62,6.83,101
05251,Vadillo de la Sierra,2010,34,26.6,56
05252,Valdecasa,2010,35,12.51,58
05256,Villaflor,2010,60,10.77,98
05257,Villafranca de la Sierra,2010,79,23.19,128
03042,"Poble Nou de Benitatxell, el",2010,2934,7.56,4733
03043,Biar,2010,2148,58.46,3465
03044,Bigastro,2010,4384,2.44,7072
03045,Bolulla,2010,258,8.08,417
03046,Busot,2010,2092,20.15,3375
03047,Calp,2010,15436,14.01,24898
03048,Callosa d'en Sarrià,2010,4658,20.63,7513
03050,"Campello, el",2010,17968,32.95,28981
03052,Cañada,2010,720,11.49,1162
03053,Castalla,2010,6753,68.26,10892
03054,Castell de Castells,2010,262,27.29,423
03055,Catral,2010,5565,11.91,8977
03056,Cocentaina,2010,6738,31.55,10869
03057,Confrides,2010,181,23.83,292
03058,Cox,2010,4461,9.98,7196
03059,Crevillent,2010,17929,62.29,28918
03060,Quatretondeta,2010,80,9.82,130
03061,Daya Nueva,2010,1067,4.22,1722
03063,Dénia,2010,27343,39.37,44103
03065,Elx,2010,141974,194.58,228991
03066,Elda,2010,31600,27.16,50969
03067,Fageca,2010,59,6.0,96
03068,Famorca,2010,29,5.63,48
03069,Finestrat,2010,5281,25.17,8518
03070,Formentera del Segura,2010,2754,2.58,4443
03071,Gata de Gorgos,2010,3920,12.09,6324
03072,Gaianes,2010,337,5.68,544
03074,Granja de Rocamora,2010,1592,4.26,2569
03075,"Castell de Guadalest, el",2010,159,9.5,257
03076,Guardamar del Segura,2010,10297,20.37,16609
03077,"Fondó de les Neus, el",2010,1620,41.01,2613
03078,Hondón de los Frailes,2010,778,7.47,1256
03079,Ibi,2010,14263,37.24,23006
03080,Jacarilla,2010,1251,7.27,2019
03081,Xaló,2010,1801,20.59,2906
03082,Xàbia,2010,18022,40.93,29069
03084,"Orxa, l'",2010,350,18.92,565
03085,Llíber,2010,608,13.09,981
03086,Millena,2010,152,5.8,246
03089,Monòver,2010,7459,90.76,12032
03090,Mutxamel,2010,16131,28.39,26019
03091,Murla,2010,342,3.46,553
03092,Muro de Alcoy,2010,5499,18.03,8870
03095,Ondara,2010,4362,6.19,7037
03096,Onil,2010,4662,28.86,7520
03097,Orba,2010,1446,10.56,2333
03098,Orxeta,2010,515,14.31,832
03099,Orihuela,2010,49110,217.69,79210
03100,Parcent,2010,606,7.0,978
03101,Pedreguer,2010,5105,17.62,8235
03102,Pego,2010,6264,31.48,10104
03104,Petrer,2010,20265,62.16,32686
03105,"Pinós, el",2010,4958,75.32,7998
03106,Planes,2010,419,23.14,676
03107,Polop,2010,3260,13.44,5259
03109,Rafal,2010,2843,0.94,4587
03110,"Ràfol d'Almúnia, el",2010,435,2.89,703
03111,Redován,2010,4880,5.62,7872
03112,Relleu,2010,751,45.69,1212
03113,Rojales,2010,10360,16.53,16710
03114,"Romana, la",2010,1572,25.78,2537
03117,Sanet y Negrals,2010,442,2.35,714
03118,San Fulgencio,2010,5767,12.31,9302
03119,Sant Joan d'Alacant,2010,15040,5.74,24259
03120,San Miguel de Salinas,2010,4119,32.71,6644
03121,Santa Pola,2010,22545,34.88,36363
03122,Sant Vicent del Raspeig,2010,35727,24.15,57625
03124,Sella,2010,363,23.13,586
03125,Senija,2010,398,2.84,643
03128,Teulada,2010,7518,19.2,12126
03129,Tibi,2010,1089,41.92,1757
03130,Tollos,2010,22,9.02,37
03131,Tormos,2010,202,3.18,326
03132,"Torre de les Maçanes, la",2010,434,21.7,701
03134,"Vall d'Alcalà, la",2010,104,13.5,169
03135,"Vall d'Ebo, la",2010,137,19.31,221
03136,"Vall de Gallinera, la",2010,347,31.86,561
03138,"Verger, el",2010,3073,4.85,4958
03139,"Vila Joiosa, la",2010,21507,35.31,34690
03140,Villena,2010,20358,205.65,32837
03901,"Poblets, els",2010,1664,2.15,2685
03902,Pilar de la Horadada,2010,14014,46.39,22604
03904,San Isidro,2010,1338,6.98,2159
04001,Abla,2010,749,26.9,1209
04003,Adra,2010,15001,53.65,24196
04004,Albanchez,2010,404,20.73,653
04005,Alboloduy,2010,357,41.51,576
04007,Alcolea,2010,479,40.18,773
04008,Alcóntar,2010,336,55.85,542
04009,Alcudia de Monteagud,2010,77,9.12,125
04011,Alhama de Almería,2010,2287,15.65,3689
04012,Alicún,2010,131,3.48,212
04013,Almería,2010,119560,176.53,192839
04014,Almócita,2010,124,18.28,200
04016,Antas,2010,2029,59.44,3273
04017,Arboleas,2010,2651,39.4,4276
04018,Armuña de Almanzora,2010,199,4.57,322
04020,Bayárcal,2010,197,22.57,319
04021,Bayarque,2010,131,15.84,212
04022,Bédar,2010,606,27.81,978
04023,Beires,2010,86,22.87,140
04024,Benahadux,2010,2770,9.89,4468
04027,Benizalón,2010,149,18.98,241
04028,Bentarique,2010,143,6.72,232
04030,Canjáyar,2010,680,39.84,1097
04031,Cantoria,2010,2139,47.04,3451
04033,Castro de Filabres,2010,64,17.15,104
04034,Cóbdar,2010,122,18.85,198
04035,Cuevas del Almanzora,2010,8877,157.31,14318
04037,Chirivel,2010,922,116.93,1488
04041,Enix,2010,352,39.76,568
04043,Felix,2010,455,48.33,735
04044,Fines,2010,1327,13.75,2141
04045,Fiñana,2010,1204,79.81,1942
04046,Fondón,2010,651,54.22,1051
04047,Gádor,2010,1807,52.21,2915
04048,"Gallardos, Los",2010,1807,20.75,2915
04050,Gérgal,2010,709,136.54,1145
04052,Huércal de Almería,2010,11091,12.46,17889
04053,Huércal-Overa,2010,12091,189.47,19503
04054,Íllar,2010,268,11.39,433
04055,Instinción,2010,292,19.89,472
04056,Laroya,2010,117,12.89,189
04057,Láujar de Andarax,2010,962,55.33,1552
04058,Líjar,2010,232,16.76,375
04060,Lucainena de las Torres,2010,429,73.32,692
04061,Lúcar,2010,495,59.9,799
04062,Macael,2010,3238,26.1,5223
04063,María,2010,721,134.16,1164
04065,Nacimiento,2010,302,48.02,488
04066,Níjar,2010,19681,357.37,31745
04067,Ohanes,2010,327,19.23,529
04068,Olula de Castro,2010,115,19.8,187
04070,Oria,2010,1342,139.75,2166
04071,Padules,2010,259,15.72,419
04072,Partaloa,2010,557,31.3,899
04073,Paterna del Río,2010,229,26.98,370
04074,Pechina,2010,2639,27.41,4258
04075,Pulpí,2010,6856,56.69,11059
04076,Purchena,2010,925,33.73,1492
04077,Rágol,2010,179,15.96,290
04078,Rioja,2010,965,21.68,1557
04081,Santa Fe de Mondújar,2010,299,20.74,483
04082,Senés,2010,172,29.79,278
04083,Serón,2010,1262,99.01,2036
04084,Sierro,2010,226,16.39,366
04085,Somontín,2010,313,9.63,505
04086,Sorbas,2010,1491,148.36,2406
04087,Suflí,2010,136,5.99,220
04088,Tabernas,2010,2380,166.96,3840
04089,Taberno,2010,573,26.21,925
04090,Tahal,2010,225,56.34,363
04091,Terque,2010,238,9.33,384
04094,Turrillas,2010,165,23.26,267
01002,Amurrio,2010,6136,57.36,9897
01003,Aramaio,2010,839,43.49,1354
01004,Artziniega,2010,1091,16.26,1760
01006,Armiñón,2010,138,7.68,223
01008,Arratzua-Ubarrundia,2010,620,34.25,1001
01009,Asparrena,2010,957,38.92,1544
01011,Baños de Ebro,2010,177,5.65,286
01013,Barrundia,2010,533,57.99,860
01014,Berantevilla,2010,272,21.19,440
01016,Bernedo,2010,320,77.44,517
01018,Zigoitia,2010,1083,60.81,1748
01019,Kripan,2010,104,7.39,169
01020,Kuartango,2010,238,50.08,385
01021,Elburgo,2010,379,19.09,612
01022,Elciego,2010,576,9.66,930
01023,Elvillar,2010,186,10.37,301
01027,Iruraiz-Gauna,2010,321,28.03,518
01028,Labastida,2010,939,22.69,1515
01031,Laguardia,2010,885,48.16,1428
01032,Lanciego,2010,421,14.42,680
01033,Lapuebla de Labarca,2010,517,3.6,835
01034,Leza,2010,130,5.87,211
01036,Laudio,2010,10670,22.49,17211
01037,Arraia-Maeztu,2010,483,73.2,780
01039,Moreda de Álava,2010,123,5.12,199
01043,Oyón-Oion,2010,2062,26.92,3326
01046,Erriberagoitia,2010,491,71.22,793
01047,Erriberabeitia,2010,851,15.07,1374
01049,Añana,2010,92,12.93,149
01051,Agurain,2010,3024,22.5,4879
01052,Samaniego,2010,181,6.27,293
01055,Valdegovía,2010,633,141.7,1022
01056,Harana,2010,129,23.15,209
01057,Villabuena de Álava,2010,168,5.01,272
01058,Legutio,2010,1217,27.31,1963
01059,Vitoria-Gasteiz,2010,152185,164.98,245461
01060,Yécora,2010,148,11.14,240
01061,Zalduondo,2010,116,7.03,188
01062,Zambrana,2010,251,23.52,406
01901,Iruña Oka,2010,2144,31.7,3459
02001,Abengibre,2010,457,18.33,738
02002,Alatoz,2010,299,37.95,483
02003,Albacete,2010,103197,670.82,166447
02004,Albatana,2010,393,18.18,634
02005,Alborea,2010,404,42.82,653
02006,Alcadozo,2010,386,59.24,623
02007,Alcalá del Júcar,2010,681,87.38,1099
02008,Alcaraz,2010,777,220.86,1254
02009,Almansa,2010,14446,317.34,23300
02011,Ayna,2010,363,87.12,587
02012,Balazote,2010,1436,38.78,2317
02013,Balsa de Ves,2010,80,44.63,130
02014,"Ballestero, El",2010,246,82.42,397
02015,Barrax,2010,1117,112.95,1803
02016,Bienservida,2010,337,53.85,545
02017,Bogarra,2010,443,98.6,716
04095,Uleila del Campo,2010,496,23.03,800
04097,Velefique,2010,153,39.31,248
04098,Vélez-Blanco,2010,1150,262.67,1856
04099,Vélez-Rubio,2010,3901,168.35,6292
04100,Vera,2010,11255,34.24,18154
04101,Viator,2010,3705,12.27,5977
04102,Vícar,2010,16694,38.36,26927
04103,Zurgena,2010,1753,42.68,2828
04901,"Tres Villas, Las",2010,345,50.68,558
04902,"Ejido, El",2010,53260,135.01,85904
04904,Balanegra,2010,1798,18.82,2900
05001,Adanero,2010,125,18.61,202
05002,"Adrada, La",2010,1631,34.92,2632
05005,Albornos,2010,104,10.16,168
05007,Aldeanueva de Santa Cruz,2010,60,4.98,98
05008,Aldeaseca,2010,124,14.32,201
05010,"Aldehuela, La",2010,89,10.16,144
05012,Amavida,2010,79,8.78,129
05013,"Arenal, El",2010,578,16.13,933
05014,Arenas de San Pedro,2010,3864,115.38,6233
05016,Arévalo,2010,4628,27.23,7465
05017,Aveinte,2010,44,7.54,72
05018,Avellaneda,2010,14,5.98,23
05021,"Barco de Ávila, El",2010,1363,7.56,2199
05022,"Barraco, El",2010,1195,91.61,1928
05023,Barromán,2010,104,11.84,169
05024,Becedas,2010,97,19.03,157
05025,Becedillas,2010,41,11.64,67
05027,"Berlanas, Las",2010,194,9.94,313
05029,Bernuy-Zapardiel,2010,51,11.59,83
05030,Berrocalejo de Aragona,2010,29,5.23,48
05033,Blascomillán,2010,100,23.43,162
05034,Blasconuño de Matacabras,2010,8,6.92,14
05035,Blascosancho,2010,62,13.42,101
05036,"Bohodón, El",2010,63,12.98,102
05037,Bohoyo,2010,127,43.95,206
05039,Brabos,2010,24,10.48,40
05040,Bularros,2010,33,17.8,54
05041,Burgohondo,2010,746,32.94,1204
05043,Cabezas del Pozo,2010,52,10.5,85
05044,Cabezas del Villar,2010,147,65.24,238
05045,Cabizuela,2010,55,11.35,89
05046,Canales,2010,21,3.89,34
05047,Candeleda,2010,2984,127.19,4813
05048,Cantiveros,2010,57,8.45,93
05052,Casas del Puerto,2010,50,13.04,81
05053,Casasola,2010,41,10.75,67
05054,Casavieja,2010,843,23.35,1361
05056,Castellanos de Zapardiel,2010,81,7.45,132
05057,Cebreros,2010,1947,82.16,3141
05058,Cepeda la Mora,2010,40,18.49,65
05059,Cillán,2010,41,8.3,67
05061,"Colilla, La",2010,217,6.41,351
05062,Collado de Contreras,2010,86,10.94,139
05063,Collado del Mirón,2010,14,2.6,24
05064,Constanzana,2010,58,15.9,94
05066,Cuevas del Valle,2010,307,11.39,496
05067,Chamartín,2010,38,9.03,62
05069,Donjimeno,2010,45,8.74,73
05072,Espinosa de los Caballeros,2010,60,11.3,98
05073,Flores de Ávila,2010,163,25.5,264
05074,Fontiveros,2010,426,21.66,688
05075,Fresnedilla,2010,63,14.4,102
05076,"Fresno, El",2010,355,7.77,574
05077,Fuente el Saúz,2010,93,5.77,151
05078,Fuentes de Año,2010,52,11.69,85
05079,Gallegos de Altamiros,2010,34,12.0,55
05080,Gallegos de Sobrinos,2010,26,24.98,43
05081,Garganta del Villar,2010,24,10.64,39
05082,Gavilanes,2010,326,17.35,526
05084,Gilbuena,2010,29,8.77,48
05085,Gil García,2010,26,9.14,42
05086,Gimialcón,2010,44,11.33,71
05087,Gotarrendura,2010,99,6.31,160
05088,Grandes y San Martín,2010,21,6.76,34
05089,Guisando,2010,290,22.71,469
05093,Herradón de Pinares,2010,303,28.74,490
05095,Higuera de las Dueñas,2010,163,20.86,263
05096,"Hija de Dios, La",2010,47,7.35,76
05097,"Horcajada, La",2010,275,27.58,445
05099,Horcajo de las Torres,2010,270,28.14,436
05100,"Hornillo, El",2010,157,13.77,254
05101,Hoyocasero,2010,196,31.04,317
05102,"Hoyo de Pinares, El",2010,1288,48.12,2079
05104,Hoyos del Collado,2010,16,5.47,27
05105,Hoyos del Espino,2010,214,31.38,346
05106,Hoyos de Miguel Muñoz,2010,14,6.39,24
05108,Junciana,2010,25,8.72,41
02019,"Bonillo, El",2010,1576,299.54,2542
02020,Carcelén,2010,291,44.77,470
02021,Casas de Juan Núñez,2010,804,52.99,1297
02022,Casas de Lázaro,2010,194,66.84,313
02023,Casas de Ves,2010,334,74.63,539
02024,Casas-Ibáñez,2010,2725,61.5,4396
02026,Cenizate,2010,692,37.64,1117
02027,Corral-Rubio,2010,179,56.18,290
02028,Cotillas,2010,76,8.46,124
02029,Chinchilla de Monte-Aragón,2010,2744,405.1,4426
02030,Elche de la Sierra,2010,2126,142.6,3430
02031,Férez,2010,368,75.02,594
02032,Fuensanta,2010,176,14.28,285
02035,"Gineta, La",2010,1549,81.65,2499
02036,Golosalvo,2010,54,16.54,88
02037,Hellín,2010,18171,464.29,29309
02038,"Herrera, La",2010,186,37.59,301
02039,Higueruela,2010,685,122.4,1105
02040,Hoya-Gonzalo,2010,371,68.13,599
02041,Jorquera,2010,205,40.36,331
02042,Letur,2010,552,157.3,891
02043,Lezuza,2010,775,214.79,1251
02044,Liétor,2010,641,186.31,1034
02046,Mahora,2010,890,64.34,1437
02048,Minaya,2010,866,41.68,1398
02049,Molinicos,2010,493,85.38,796
02050,Montalvos,2010,52,14.39,85
02051,Montealegre del Castillo,2010,1215,105.63,1961
02052,Motilleja,2010,396,14.17,639
02053,Munera,2010,2031,137.26,3276
02056,Ontur,2010,1142,32.41,1842
02057,Ossa de Montiel,2010,1318,145.07,2126
02058,Paterna del Madera,2010,210,66.84,339
02059,Peñascosa,2010,197,112.64,318
02060,Peñas de San Pedro,2010,868,94.5,1401
02061,Pétrola,2010,398,44.33,643
02062,Povedilla,2010,235,29.34,380
02063,Pozohondo,2010,925,81.23,1492
02064,Pozo-Lorente,2010,231,47.98,374
02065,Pozuelo,2010,279,79.59,450
02067,Riópar,2010,788,48.24,1271
02068,Robledo,2010,235,71.28,380
02069,"Roda, La",2010,9313,236.93,15022
02070,Salobre,2010,259,29.48,418
02071,San Pedro,2010,706,49.44,1140
02072,Socovos,2010,1014,82.81,1637
02073,Tarazona de la Mancha,2010,3667,126.76,5915
02076,Vianos,2010,191,75.95,309
44009,Albarracín,2010,605,269.43,976
44010,Albentosa,2010,179,40.24,290
44011,Alcaine,2010,28,33.47,46
44012,Alcalá de la Selva,2010,226,62.26,366
44013,Alcañiz,2010,9596,281.25,15479
44014,Alcorisa,2010,1927,72.19,3109
44016,Alfambra,2010,286,72.8,462
44017,Aliaga,2010,203,114.6,328
44018,Almohaja,2010,9,13.54,16
44019,Alobras,2010,42,18.18,68
44020,Alpeñés,2010,14,16.05,24
44023,Allueva,2010,15,10.37,25
44024,Anadón,2010,19,14.19,31
44025,Andorra,2010,4295,84.19,6928
44026,Arcos de las Salinas,2010,68,66.83,110
44027,Arens de Lledó,2010,122,20.17,198
44028,Argente,2010,114,37.15,184
44029,Ariño,2010,394,48.72,637
44031,Azaila,2010,58,48.18,94
44035,Barrachina,2010,71,14.7,115
44036,Bea,2010,16,13.36,26
44037,Beceite,2010,339,57.61,547
44038,Belmonte de San José,2010,75,20.06,122
44039,Bello,2010,129,31.07,209
44040,Berge,2010,135,25.36,218
44041,Bezas,2010,37,15.23,61
44044,Bordón,2010,66,17.68,107
44045,Bronchales,2010,279,35.37,451
44046,Bueña,2010,32,23.71,52
44047,Burbáguena,2010,223,23.15,361
44048,Cabra de Mora,2010,42,20.29,68
44049,Calaceite,2010,581,48.34,938
44050,Calamocha,2010,2662,188.59,4294
44051,Calanda,2010,2236,66.87,3607
44054,Camarena de la Sierra,2010,79,46.54,129
44055,Camarillas,2010,71,29.64,116
44056,Caminreal,2010,365,26.38,590
44059,Cantavieja,2010,427,74.04,689
44060,Cañada de Benatanduz,2010,19,19.49,32
44061,"Cañada de Verich, La",2010,51,6.38,83
44065,Castejón de Tornos,2010,41,18.11,67
44066,Castel de Cabra,2010,52,17.18,85
44067,Castelnou,2010,64,21.47,104
44068,Castelserás,2010,473,18.75,763
44070,"Castellar, El",2010,32,29.28,52
44071,Castellote,2010,403,139.79,651
44074,Cedrillas,2010,388,43.77,626
44075,Celadas,2010,203,59.64,328
44076,Cella,2010,1571,74.27,2534
44077,"Cerollera, La",2010,45,19.97,73
44082,Corbalán,2010,66,48.13,108
44085,Cosa,2010,35,31.45,58
44086,Cretas,2010,331,31.27,534
44087,Crivillén,2010,53,24.73,86
44088,"Cuba, La",2010,30,3.84,49
44089,Cubla,2010,42,28.78,68
44090,Cucalón,2010,44,18.75,72
44092,"Cuervo, El",2010,58,12.15,95
44093,Cuevas de Almudén,2010,70,21.08,114
44096,Ejulve,2010,104,65.07,168
44097,Escorihuela,2010,84,33.7,136
44100,Estercuel,2010,117,32.86,190
44101,Ferreruela de Huerva,2010,44,11.99,72
44102,Fonfría,2010,18,11.57,30
44103,Formiche Alto,2010,94,45.92,153
44106,Fortanete,2010,132,99.58,214
44107,Foz-Calanda,2010,168,22.55,271
44109,Frías de Albarracín,2010,65,29.74,106
44111,Fuentes Calientes,2010,49,14.59,80
44112,Fuentes Claras,2010,259,21.92,418
44113,Fuentes de Rubielos,2010,99,22.91,161
44114,Fuentespalda,2010,170,23.12,275
44115,Galve,2010,85,36.54,138
44116,Gargallo,2010,53,17.51,87
44117,Gea de Albarracín,2010,267,34.12,432
44118,"Ginebrosa, La",2010,113,47.4,183
44120,Guadalaviar,2010,143,16.58,232
44122,Híjar,2010,1061,98.44,1712
44123,Hinojosa de Jarque,2010,61,21.41,99
44124,"Hoz de la Vieja, La",2010,51,25.64,83
44125,Huesa del Común,2010,37,35.65,61
31224,Sesma,2010,727,42.42,1174
31225,Sorlada,2010,28,3.58,46
31227,Tafalla,2010,6383,58.48,10296
31228,Tiebas-Muruarte de Reta,2010,393,12.72,634
31229,Tirapu,2010,31,3.23,51
31230,Torralba del Río,2010,59,10.59,96
31232,Tudela,2010,22421,128.06,36163
31233,Tulebras,2010,89,2.26,144
31234,Ucar,2010,112,6.98,182
31236,Ultzama,2010,971,57.41,1567
31237,Unciti,2010,135,22.19,218
31238,Unzué,2010,93,11.12,151
31239,Urdazubi,2010,222,4.58,359
31240,Urdiain,2010,381,8.98,616
31241,Urraul Alto,2010,79,82.41,129
31242,Urraul Bajo,2010,192,35.43,311
31244,Urroz,2010,106,7.05,172
31246,Uterga,2010,100,5.1,162
31247,Uztárroz,2010,84,34.52,136
31248,Luzaide,2010,189,26.69,306
31249,Valtierra,2010,1444,29.92,2330
31251,Viana,2010,2612,47.01,4213
31252,Vidángoz,2010,47,23.02,77
31253,Bidaurreta,2010,98,3.02,159
31256,Hiriberri,2010,60,12.73,98
31257,Villatuerta,2010,759,14.18,1225
31258,Villava,2010,5987,0.63,9658
31259,Igantzi,2010,342,9.85,553
31260,Valle de Yerri,2010,936,150.31,1511
31261,Yesa,2010,175,13.62,283
31262,Zabalza,2010,172,8.33,278
31263,Zubieta,2010,172,10.56,278
31264,Zugarramurdi,2010,143,3.24,231
31265,Zúñiga,2010,52,9.04,85
31901,Barañáin,2010,11647,0.83,18786
31902,Berrioplano,2010,4490,15.57,7242
31904,Irurtzun,2010,1378,2.24,2224
31905,Beriáin,2010,2451,3.23,3954
31906,Orkoien,2010,2411,3.36,3889
31907,Zizur Mayor,2010,9353,3.01,15087
31908,Lekunberri,2010,1009,3.99,1629
32001,Allariz,2010,3803,51.2,6135
32002,Amoeiro,2010,1420,23.63,2291
32004,Avión,2010,1040,72.21,1679
32007,Baños de Molgas,2010,916,40.24,1479
32008,Barbadás,2010,6632,17.88,10698
32009,"Barco de Valdeorras, O",2010,7905,50.88,12750
